2011-02-17T05:20:50+00:00 INFO (6): -------------------- Exporttrader
2011-02-17T05:20:51+00:00 INFO (6): Каптча получена и записана в локальный файл
2011-02-17T05:20:51+00:00 INFO (6): Captcha::recognize() result OK|4673781
2011-02-17T05:21:01+00:00 INFO (6): Captcha::recognize() result OK|99704
2011-02-17T05:21:01+00:00 INFO (6): Каптча распознана: 99704
2011-02-17T05:21:02+00:00 INFO (6): Авторизация: запрос №1 прошел
2011-02-17T05:21:03+00:00 INFO (6): Авторизация: запрос №2 прошел
2011-02-17T05:21:03+00:00 INFO (6): Запрос авторизован
2011-02-17T05:21:19+00:00 INFO (6): Тип 1 - найдено: 87, прошли первичные фильтры: 26, не прошли фильтр по цветам: 10, добавлено: 16, новых вин-кодов: 26
2011-02-17T05:21:29+00:00 INFO (6): Тип 2 - найдено: 132, прошли первичные фильтры: 11, не прошли фильтр по цветам: 2, добавлено: 9, новых вин-кодов: 10
2011-02-17T05:21:30+00:00 INFO (6): Тип 3 - найдено: 35, прошли первичные фильтры: 0, не прошли фильтр по цветам: 0, добавлено: 0, новых вин-кодов: 0
2011-02-17T05:21:42+00:00 INFO (6): Тип 4 - найдено: 47, прошли первичные фильтры: 19, не прошли фильтр по цветам: 15, добавлено: 4, новых вин-кодов: 19
2011-02-17T05:21:56+00:00 INFO (6): Тип 5 - найдено: 68, прошли первичные фильтры: 26, не прошли фильтр по цветам: 25, добавлено: 1, новых вин-кодов: 23
2011-02-17T05:22:02+00:00 INFO (6): Тип 6 - найдено: 15, прошли первичные фильтры: 11, не прошли фильтр по цветам: 10, добавлено: 1, новых вин-кодов: 11
2011-02-17T05:22:12+00:00 INFO (6): Тип 7 - найдено: 26, прошли первичные фильтры: 16, не прошли фильтр по цветам: 16, добавлено: 0, новых вин-кодов: 16
2011-02-17T05:22:22+00:00 INFO (6): Тип 8 - найдено: 9, прошли первичные фильтры: 9, не прошли фильтр по цветам: 9, добавлено: 0, новых вин-кодов: 8
2011-02-17T05:22:27+00:00 INFO (6): Тип 9 - найдено: 85, прошли первичные фильтры: 1, не прошли фильтр по цветам: 0, добавлено: 1, новых вин-кодов: 1
2011-02-17T05:22:32+00:00 INFO (6): Тип 10 - найдено: 136, прошли первичные фильтры: 11, не прошли фильтр по цветам: 0, добавлено: 11, новых вин-кодов: 11
2011-02-17T05:22:44+00:00 INFO (6): Тип 21 - найдено: 85, прошли первичные фильтры: 8, не прошли фильтр по цветам: 8, добавлено: 0, новых вин-кодов: 8
2011-02-17T05:23:29+00:00 INFO (6): Тип 22 - найдено: 176, прошли первичные фильтры: 27, не прошли фильтр по цветам: 27, добавлено: 0, новых вин-кодов: 25
2011-02-17T05:23:48+00:00 INFO (6): Тип 23 - найдено: 83, прошли первичные фильтры: 10, не прошли фильтр по цветам: 10, добавлено: 0, новых вин-кодов: 10
2011-02-17T05:23:55+00:00 INFO (6): Тип 27 - найдено: 97, прошли первичные фильтры: 2, не прошли фильтр по цветам: 2, добавлено: 0, новых вин-кодов: 2
2011-02-17T07:41:56+00:00 ERR (3): Uncaught exception: Method home does not exist [/home/clients/boldyrek_ftp0/domains/tcl.makmalauto.com/html/cron/spider/index.php: 70]
